id,note,section,page,block,title,filename,link,old
1,,Governance library,Accountability structures,Documents,Derbyshire Governance Diagram,Derbyshire Governance Diagram - Lead and Supporting Boards.docx,,
2,,Governance library,Accountability structures,Documents,PVVP - Governance Structure,PVVP - Governance Structure 2018.pdf,,
3,,Governance library,Accountability structures,Documents,Hertfordshire Modern Slavery Partnership Governance Structure,Hertfordshire Modern Slavery Partnership Governance Structure  Members.pdf,,
4,,Governance library,Information sharing,Documents,Multi Agency Working and Information Sharing Project,Multi Agency Working and Information Sharing Report.pdf,,
5,,Governance library,Information sharing,Documents,Derbyshire Modern Slavery Multi Agency Tactical Response - Information Sharing Agreement,Derbyshire MSP ISA v0.1 FINAL July 2018 - without names.doc,,
6,,Governance library,Information sharing,Documents,A Case Study on the use of ECINS in Nottinghamshire,ECINS case study.pdf,,
7,,Governance library,Modern slavery statements,Documents,Sandwell Council Modern Slavery Statement,Sandwell - Modern Slavery and Human Trafficking Statement 2017.pdf,,
8,,Governance library,Modern slavery statements,Documents,Derbyshire Council Statement Modern Slavery Statement,derbyshire-cc-modern-slavery-statement-2018-to-2019.pdf,,
9,,Governance library,Modern slavery statements,Documents,John Lewis Partnership Modern Slavery Statement,jlp-modern-slavery-statement-2017-18.pdf,,
10,,Governance library,Modern slavery statements,Documents,Nottingham City Council Modern Slavery Statement,Nottingham City Council Modern Slavery Statement 2017.pdf,,
11,,Governance library,Modern slavery statements,Documents,LGA Modern slavery in supply chains – Council transparency statements,,https://www.local.gov.uk/topics/community-safety/modern-slavery/%20independent-anti-slavery-commissioner,
12,,Governance library,Modern slavery statements,Repository,LGA Transparency in the supply chain – council statements portal,,https://www.local.gov.uk/topics/community-safety/modern-slavery/supply-chains,
13,,Governance library,Modern slavery statements,Repository,TISC Report,,https://tiscreport.org/,
14,CLOSED - UPDATE?,Governance library,Modern slavery statements,Repository,Modern Slavery Registry,,https://www.modernslaveryregistry.org/,
15,,Governance library,Modern slavery statements,Repository,Contacts database for guidance on modern slavery reporting,,https://www.gov.uk/government/publications/contacts-database-for-guidance-on-modern-slavery-reporting,
16,,Governance library,Partnership function,Documents,Slavery Free Community Pledge,Slavery Free Community Pledge.pdf,,
17,,Governance library,Partnership function,Documents,Hertfordshire Modern Slavery Partnership Governance Structure,Hertfordshire Modern Slavery Partnership Governance Structure  Members.pdf,,
18,,Governance library,Partnership function,Documents,Hampshire MSP Partnership Structure,Hampshire MSP Partnership structure.png,,
19,,Governance library,Partnership function,Documents,South West Region Anti-Slavery Partnership,,https://www.aspartnership.org.uk/south-west-regional-board,
20,,Governance library,Partnership function,Documents,Programme Challenger Partnership (Greater Manchester),,https://www.programmechallenger.co.uk/our_partners,
21,,Governance library,Performance management,Documents,A short guide to performance management for local anti-slavery partnerships,"Ward,Gardner, Performance Management guide.pdf",,
22,,Governance library,Performance management,Documents,Liberate: The Plan,west midlands - Liberate plan.pdf,,
23,,Governance library,Performance management,Documents,Derby and Derbyshire Modern Slavery and Exploitation Communication Strategy and Action Plan,Derby and Derbyshire Modern Slavery and Exploitation Communication Strategy and Action Plan.docx,,
24,,Governance library,Performance management,Documents,Scotland Human Trafficking and Exploitation Strategy - first annual progress report,Scotland Human Trafficking and Exploitation Strategy - first annual progress report.pdf,,
25,updated,Governance library,Procurement,Documents,Code of Practice - Ethical Employment in Supply Chains,,https://www.gov.wales/sites/default/files/publications/2019-09/code-of-practice-ethical-employment-in-supply-chains.pdf,https://www.gov.wales/docs/dpsp/publications/valuewales/170502-ethical-en.pdf
26,,Governance library,Procurement,Documents,Evaluating the Modern Slavery Risks in Adult Social Care Procurement in the UK,Emberson 2018 Research Briefing Evaluating the Modern Slavery Risks in Adult Social Care Procurement in the UK May 2018.docx,,
